-66, 532683052, -5296750, 35424, 112.00
-43, 532683013, -5296623, 35399, 130.00
-67, 532682976, -5296498, 35286, 141.00
-43, 532682908, -5296408, 35206, 140.00
-49, 532682793, -5296341, 35225, 151.00
-35, 532682669, -5296284, 35155, 151.00
-37, 532682551, -5296238, 35053, 163.00
-37, 532682432, -5296189, 35000, 162.00
-64, 532682321, -5296130, 34997, 158.00
-56, 532682203, -5296078, 34917, 149.00
-56, 532682077, -5296063, 34757, 146.00
-53, 532681982, -5296052, 34706, 155.00
-50, 532681950, -5296047, 34698, 158.00
-50, 532681947, -5296049, 34687, 161.00
-51, 532681957, -5296064, 34783, 161.00
-53, 532681961, -5296051, 35328, 173.00
-50, 532681962, -5296045, 35482, 194.00
-54, 532681955, -5296057, 35478, 204.00
-47, 532681952, -5296042, 35189, 188.00
-51, 532681944, -5296038, 35080, 193.00
-50, 532681871, -5296027, 34971, 237.00
-46, 532681750, -5295982, 35008, 234.00
-48, 532681612, -5295916, 34967, 224.00
-51, 532681468, -5295863, 34845, 219.00
-49, 532681332, -5295821, 34696, 217.00
-50, 532681212, -5295769, 34544, 222.00
-51, 532681099, -5295707, 34451, 223.00
-50, 532680986, -5295652, 34376, 222.00
-53, 532680867, -5295584, 34221, 222.00
-52, 532680736, -5295511, 34087, 218.00
-52, 532680601, -5295447, 34087, 219.00
-52, 532680458, -5295376, 34183, 217.00
-51, 532680315, -5295319, 34356, 219.00
-50, 532680173, -5295279, 34397, 215.00
-53, 532680039, -5295244, 34297, 211.00
-52, 532679916, -5295204, 34166, 210.00
-55, 532679800, -5295163, 34072, 216.00
-54, 532679686, -5295120, 34050, 210.00
-55, 532679570, -5295064, 33993, 217.00
-57, 532679445, -5295004, 33884, 220.00
-55, 532679317, -5294942, 33834, 211.00
-52, 532679188, -5294875, 33846, 218.00
-53, 532679048, -5294814, 33906, 225.00
-51, 532678908, -5294769, 34058, 221.00
-53, 532678770, -5294725, 34030, 216.00
-51, 532678641, -5294682, 33871, 218.00
-53, 532678517, -5294646, 33705, 223.00
-55, 532678397, -5294594, 33623, 219.00
-55, 532678277, -5294535, 33635, 220.00
-54, 532678149, -5294471, 33556, 218.00
-59, 532678021, -5294401, 33455, 218.00
-57, 532677891, -5294332, 33353, 213.00
-58, 532677761, -5294276, 33469, 214.00
-56, 532677628, -5294216, 33580, 218.00
-59, 532677491, -5294156, 33604, 215.00
-61, 532677352, -5294105, 33437, 210.00
-61, 532677219, -5294059, 33275, 212.00
-62, 532677096, -5294017, 33121, 209.00
-64, 532676984, -5293970, 33044, 207.00
-63, 532676872, -5293911, 33004, 208.00
-62, 532676749, -5293838, 32913, 209.00
-64, 532676622, -5293760, 32822, 212.00
-62, 532676492, -5293688, 32783, 208.00
-61, 532676358, -5293635, 32801, 213.00
-67, 532676217, -5293572, 32855, 215.00
-65, 532676080, -5293532, 32725, 210.00
-68, 532675942, -5293501, 32540, 209.00
-63, 532675812, -5293456, 32352, 207.00
-65, 532675691, -5293404, 32283, 207.00
-63, 532675569, -5293340, 32242, 214.00
-68, 532675446, -5293283, 32095, 208.00
-67, 532675316, -5293220, 31989, 203.00
-71, 532675179, -5293147, 32021, 203.00
-69, 532675039, -5293081, 32127, 206.00
-68, 532674895, -5293017, 32166, 210.00
-79, 532674761, -5292968, 32063, 207.00
-71, 532674638, -5292923, 31902, 206.00
-70, 532674525, -5292872, 31811, 205.00
-68, 532674413, -5292818, 31806, 206.00
-69, 532674294, -5292752, 31764, 206.00
-70, 532674167, -5292684, 31658, 205.00
-71, 532674035, -5292613, 31621, 202.00
-66, 532673893, -5292544, 31713, 206.00
-72, 532673750, -5292475, 31802, 208.00
-66, 532673620, -5292420, 31747, 206.00
-69, 532673508, -5292388, 31635, 207.00
-64, 532673437, -5292414, 31618, 213.00
-69, 532673395, -5292529, 31612, 245.00
-68, 532673363, -5292706, 31668, 271.00
-66, 532673334, -5292916, 31734, 285.00
-68, 532673308, -5293141, 31884, 275.00
-67, 532673289, -5293367, 31947, 259.00
-67, 532673269, -5293578, 31796, 262.00
-69, 532673253, -5293776, 31647, 266.00
-66, 532673260, -5293956, 31599, 287.00
-61, 532673317, -5294087, 31617, 302.00
-65, 532673410, -5294139, 31620, 32.00
-66, 532673527, -5294163, 31517, 112.00
-67, 532673657, -5294176, 31476, 123.00
-75, 532673800, -5294204, 31469, 127.00
-68, 532673941, -5294270, 31528, 122.00
-61, 532674064, -5294407, 31589, 127.00
-63, 532674161, -5294608, 31527, 119.00
-63, 532674223, -5294792, 31408, 84.00
-68, 532674281, -5294954, 31384, 49.00
-64, 532674341, -5295117, 31487, 111.00
-68, 532674400, -5295307, 31565, 108.00
-69, 532674459, -5295501, 31595, 79.00
-65, 532674528, -5295688, 31603, 82.00
-68, 532674606, -5295857, 31760, 87.00
-63, 532674702, -5295989, 31844, 92.00
-60, 532674809, -5296077, 31817, 97.00
-63, 532674915, -5296130, 31737, 108.00
-66, 532675019, -5296144, 31794, 113.00
-70, 532675127, -5296126, 31889, 122.00
-60, 532675236, -5296059, 31934, 127.00
-60, 532675345, -5295959, 31929, 137.00
-60, 532675452, -5295837, 32020, 137.00
-62, 532675558, -5295705, 32109, 141.00
-61, 532675654, -5295552, 32175, 143.00
-63, 532675746, -5295406, 32146, 140.00
-63, 532675848, -5295289, 32102, 135.00
-68, 532675965, -5295219, 32105, 135.00
-64, 532676094, -5295211, 32177, 130.00
-55, 532676224, -5295275, 32279, 120.00
-59, 532676342, -5295393, 32313, 105.00
-58, 532676449, -5295546, 32384, 93.00
-60, 532676542, -5295720, 32562, 83.00
-61, 532676629, -5295890, 32679, 84.00
-58, 532676708, -5296048, 32696, 68.00
-57, 532676782, -5296199, 32724, 74.00
-61, 532676848, -5296344, 32793, 75.00
-56, 532676923, -5296490, 32867, 78.00
-57, 532677003, -5296655, 32860, 71.00
-56, 532677089, -5296808, 32849, 82.00
-56, 532677193, -5296928, 32925, 87.00
-59, 532677313, -5296980, 33051, 106.00
-61, 532677431, -5296965, 33128, 115.00
-56, 532677544, -5296921, 33117, 121.00
-52, 532677643, -5296865, 33092, 128.00
-55, 532677740, -5296791, 33132, 129.00
-57, 532677843, -5296692, 33158, 133.00
-56, 532677958, -5296594, 33137, 129.00
-54, 532678085, -5296497, 33147, 128.00
-56, 532678207, -5296388, 33248, 129.00
-54, 532678330, -5296281, 33337, 134.00
-58, 532678456, -5296200, 33307, 131.00
-56, 532678580, -5296151, 33202, 122.00
-53, 532678703, -5296149, 33150, 115.00
-52, 532678820, -5296175, 33214, 118.00
-51, 532678943, -5296244, 33220, 108.00
-49, 532679069, -5296340, 33226, 107.00
-49, 532679191, -5296452, 33292, 105.00
-50, 532679308, -5296578, 33447, 111.00
-47, 532679427, -5296680, 33546, 94.00
-49, 532679542, -5296765, 33488, 99.00
-48, 532679644, -5296845, 33412, 95.00
-52, 532679743, -5296912, 33435, 101.00
-49, 532679846, -5296974, 33484, 108.00
-50, 532679960, -5297032, 33522, 106.00
-49, 532680082, -5297090, 33504, 112.00
-49, 532680208, -5297139, 33510, 109.00
-49, 532680334, -5297177, 33613, 110.00
-48, 532680465, -5297216, 33680, 119.00
