-5.0,53.2683163,-0.5298410,34.732,288.00
-6.0,53.2683163,-0.5298410,34.734,288.00
-7.0,53.2683161,-0.5298408,34.765,288.00
-13.0,53.2683160,-0.5298411,34.771,286.00
-10.0,53.2683159,-0.5298413,34.779,281.00
-9.0,53.2683159,-0.5298414,34.773,285.00
-10.0,53.2683157,-0.5298413,34.794,293.00
-13.0,53.2683155,-0.5298412,34.827,290.00
-20.0,53.2683154,-0.5298413,34.835,294.00
-21.0,53.2683154,-0.5298415,34.855,294.00
-22.0,53.2683153,-0.5298416,34.878,292.00
-22.0,53.2683153,-0.5298417,34.889,294.00
-21.0,53.2683153,-0.5298417,34.895,294.00
-21.0,53.2683154,-0.5298417,34.900,292.00
-22.0,53.2683154,-0.5298417,34.916,292.00
-24.0,53.2683154,-0.5298418,34.934,293.00
-22.0,53.2683155,-0.5298419,34.956,293.00
-25.0,53.2683156,-0.5298422,34.967,292.00
-23.0,53.2683158,-0.5298424,34.980,295.00
-23.0,53.2683159,-0.5298425,34.994,294.00
-22.0,53.2683160,-0.5298426,35.011,295.00
-23.0,53.2683160,-0.5298427,35.031,295.00
-16.0,53.2683160,-0.5298427,35.066,294.00
-26.0,53.2683131,-0.5298416,35.560,275.00
-31.0,53.2683062,-0.5298336,35.825,336.00
-56.0,53.2683030,-0.5298156,35.859,88.00
-57.0,53.2683032,-0.5297918,35.927,67.00
-60.0,53.2683005,-0.5297659,35.788,292.00
-54.0,53.2682982,-0.5297395,35.726,0.00
-42.0,53.2682961,-0.5297131,35.718,7.00
-49.0,53.2682937,-0.5296877,35.683,53.00
-49.0,53.2682876,-0.5296671,35.619,73.00
-61.0,53.2682775,-0.5296519,35.558,72.00
-56.0,53.2682633,-0.5296420,35.434,96.00
-50.0,53.2682472,-0.5296326,35.240,108.00
-48.0,53.2682305,-0.5296241,35.103,86.00
-50.0,53.2682144,-0.5296166,35.046,93.00
-49.0,53.2681989,-0.5296089,34.982,93.00
-48.0,53.2681839,-0.5296024,34.969,99.00
-42.0,53.2681687,-0.5295955,34.940,101.00
-45.0,53.2681533,-0.5295882,34.849,94.00
-44.0,53.2681382,-0.5295798,34.746,90.00
-43.0,53.2681240,-0.5295719,34.681,90.00
-45.0,53.2681094,-0.5295646,34.625,93.00
-46.0,53.2680942,-0.5295579,34.577,95.00
-47.0,53.2680790,-0.5295510,34.518,102.00
-48.0,53.2680634,-0.5295456,34.451,116.00
-48.0,53.2680472,-0.5295391,34.304,100.00
-47.0,53.2680313,-0.5295323,34.208,95.00
-47.0,53.2680160,-0.5295267,34.217,96.00
-50.0,53.2680011,-0.5295201,34.241,93.00
-50.0,53.2679859,-0.5295126,34.249,104.00
-51.0,53.2679709,-0.5295050,34.244,102.00
-50.0,53.2679561,-0.5294976,34.223,103.00
-49.0,53.2679415,-0.5294908,34.159,103.00
-49.0,53.2679263,-0.5294843,34.065,102.00
-49.0,53.2679109,-0.5294770,33.996,101.00
-50.0,53.2678960,-0.5294698,33.967,100.00
-50.0,53.2678813,-0.5294643,33.920,92.00
-50.0,53.2678664,-0.5294594,33.781,110.00
-52.0,53.2678513,-0.5294543,33.661,106.00
-53.0,53.2678357,-0.5294472,33.469,115.00
-54.0,53.2678201,-0.5294398,33.286,113.00
-53.0,53.2678044,-0.5294333,33.250,102.00
-53.0,53.2677893,-0.5294256,33.245,101.00
-53.0,53.2677745,-0.5294172,33.264,100.00
-57.0,53.2677592,-0.5294098,33.250,105.00
-60.0,53.2677442,-0.5294018,33.246,105.00
-57.0,53.2677295,-0.5293931,33.134,105.00
-61.0,53.2677141,-0.5293858,33.045,102.00
-58.0,53.2676990,-0.5293793,33.004,97.00
-65.0,53.2676841,-0.5293726,32.904,100.00
-58.0,53.2676685,-0.5293668,32.774,107.00
-58.0,53.2676530,-0.5293608,32.655,108.00
-59.0,53.2676374,-0.5293546,32.504,107.00
-62.0,53.2676213,-0.5293478,32.412,99.00
-60.0,53.2676051,-0.5293408,32.384,98.00
-61.0,53.2675887,-0.5293337,32.388,98.00
-61.0,53.2675732,-0.5293271,32.354,105.00
-64.0,53.2675582,-0.5293200,32.282,105.00
-59.0,53.2675429,-0.5293130,32.156,105.00
-62.0,53.2675271,-0.5293054,32.039,102.00
-68.0,53.2675117,-0.5292986,31.969,102.00
-66.0,53.2674973,-0.5292926,31.925,104.00
-68.0,53.2674825,-0.5292861,31.849,107.00
-67.0,53.2674678,-0.5292807,31.774,97.00
-66.0,53.2674528,-0.5292755,31.663,103.00
-66.0,53.2674369,-0.5292697,31.567,101.00
-68.0,53.2674207,-0.5292630,31.482,103.00
-68.0,53.2674044,-0.5292563,31.488,96.00
-62.0,53.2673882,-0.5292494,31.507,98.00
-65.0,53.2673732,-0.5292417,31.548,107.00
-60.0,53.2673596,-0.5292365,31.600,112.00
-61.0,53.2673473,-0.5292375,31.562,116.00
-65.0,53.2673363,-0.5292460,31.483,130.00
-73.0,53.2673280,-0.5292624,31.449,138.00
-70.0,53.2673227,-0.5292825,31.448,145.00
-71.0,53.2673198,-0.5293032,31.445,148.00
-68.0,53.2673175,-0.5293246,31.411,149.00
-62.0,53.2673175,-0.5293443,31.381,161.00
-65.0,53.2673231,-0.5293585,31.429,179.00
-68.0,53.2673348,-0.5293665,31.486,224.00
-69.0,53.2673488,-0.5293722,31.507,231.00
-68.0,53.2673634,-0.5293776,31.519,251.00
-67.0,53.2673788,-0.5293831,31.506,272.00
-71.0,53.2673940,-0.5293880,31.596,240.00
-66.0,53.2674082,-0.5293930,31.691,217.00
